verb;tense;person;conjugation
[verstehen];praesens_konjunktiv_1;5;[verstehet]
[verstehen];praesens_indikativ;6;[verstehen]
[verstehen];praesens_konjunktiv_1;6;[verstehen]
[verstehen];praeteritum_indikativ;1;[verstand]
[verstehen];praeteritum_konjunktiv_2;1;"[verstände;verstünde]"
[verstehen];praeteritum_indikativ;2;"[verstandest;verstandst]"
[verstehen];praeteritum_konjunktiv_2;2;"[verständest;verstündest]"
[verstehen];praeteritum_indikativ;3;[verstand]
[verstehen];praeteritum_konjunktiv_2;3;"[verstände;verstünde]"
[verstehen];praeteritum_indikativ;4;[verstanden]
[verstehen];praeteritum_konjunktiv_2;4;"[verständen;verstünden]"
[verstehen];praeteritum_indikativ;5;[verstandet]
[verstehen];praeteritum_konjunktiv_2;5;"[verständet;verstündet]"
[verstehen];praeteritum_indikativ;6;[verstanden]
[verstehen];praeteritum_konjunktiv_2;6;"[verständen;verstünden]"
[verstehen];perfekt_indikativ;1;[habe verstanden]
[verstehen];perfekt_konjunktiv_1;1;[habe verstanden]
[verstehen];perfekt_indikativ;2;[hast verstanden]
[verstehen];perfekt_konjunktiv_1;2;[habest verstanden]
[verstehen];perfekt_indikativ;3;[hat verstanden]
[verstehen];perfekt_konjunktiv_1;3;[habe verstanden]
[verstehen];perfekt_indikativ;4;[haben verstanden]
[verstehen];perfekt_konjunktiv_1;4;[haben verstanden]
[verstehen];perfekt_indikativ;5;[habt verstanden]
[verstehen];perfekt_konjunktiv_1;5;[habet verstanden]
[verstehen];perfekt_indikativ;6;[haben verstanden]
[verstehen];perfekt_konjunktiv_1;6;[haben verstanden]
[verstehen];plusquamperfekt_indikativ;1;[hatte verstanden]
[verstehen];plusquamperfekt_konjunktiv_2;1;[hätte verstanden]
[verstehen];plusquamperfekt_indikativ;2;[hattest verstanden]
[verstehen];plusquamperfekt_konjunktiv_2;2;[hättest verstanden]
[verstehen];plusquamperfekt_indikativ;3;[hatte verstanden]
[verstehen];plusquamperfekt_konjunktiv_2;3;[hätte verstanden]
[verstehen];plusquamperfekt_indikativ;4;[hatten verstanden]
[verstehen];plusquamperfekt_konjunktiv_2;4;[hätten verstanden]
[verstehen];plusquamperfekt_indikativ;5;[hattet verstanden]
[verstehen];plusquamperfekt_konjunktiv_2;5;[hättet verstanden]
[verstehen];plusquamperfekt_indikativ;6;[hatten verstanden]
[verstehen];plusquamperfekt_konjunktiv_2;6;[hätten verstanden]
[verstehen];futur_1_indikativ;1;[werde verstehen]
[verstehen];futur_1_konjunktiv_1;1;[werde verstehen]
[verstehen];futur_1_konjunktiv_2;1;[würde verstehen]
[verstehen];futur_1_indikativ;2;[wirst verstehen]
[verstehen];futur_1_konjunktiv_1;2;[werdest verstehen]
[verstehen];futur_1_konjunktiv_2;2;[würdest verstehen]
[verstehen];futur_1_indikativ;3;[wird verstehen]
[verstehen];futur_1_konjunktiv_1;3;[werde verstehen]
[verstehen];futur_1_konjunktiv_2;3;[würde verstehen]
[verstehen];futur_1_indikativ;4;[werden verstehen]
[verstehen];futur_1_konjunktiv_1;4;[werden verstehen]
[verstehen];futur_1_konjunktiv_2;4;[würden verstehen]
